Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0.18,1.04,0.82,8.33,12,20,5.5,2,25.5,13.67,10
0.18,1.07,1.1,11.67,16.67,25,5.83,0.83,40.5,22.17,25
0.18,1.08,2.05,11.67,16.66,25,6.83,4.17,22.5,17.17,13.33
0.18,1.09,2.06,10,14.33,25,11.83,2,37.16,15.5,16.67
0.18,1.1,2.15,21.67,21.83,33.33,7.67,6.17,32.02,23.33,16.67
0.18,2.8,1,51.66,19,41.67,21.83,2.5,37.67,51.67,55
0.19,1.85,1.25,36.66,27.16,33.34,19.83,2.5,40.34,42.17,38.33
0.2,0.75,1.17,6.66,15,21.66,6.83,3.67,31.66,25.67,13.33
0.2,0.78,0.81,6.66,14.5,23.34,9.17,4,32.17,18.83,11.67
0.2,0.79,0.9,8.33,15.67,20,9,4.33,34,18.17,11.67
0.2,0.79,2.2,11.66,20.16,30,10.83,4,40,15.17,20
0.2,0.95,1.43,6.67,14,23.33,11.33,5,37.5,17.83,20
0.2,1,2.4,13.34,13.5,31.66,12.83,6.17,35.34,15.5,15
0.2,1.13,0.96,10,16.34,26.67,7.5,3.33,32,20.67,16.67
0.22,0.71,0.97,13.33,14.67,23.33,10.33,5.17,33.16,20.83,15
0.22,0.77,0.97,15,11.67,25,10.5,1.17,38.33,29,28.33
0.22,0.86,0.9,11.66,16,21.67,7.17,2.17,29.17,18.17,23.33
0.22,0.89,0.58,20,19.33,26.67,12,2.83,33.34,28.17,41.67
0.22,0.91,2.37,11.66,15.33,23.33,7.33,3.33,33.33,15.5,16.67
0.22,0.99,2.17,10,12.5,31.67,12.5,3.67,36.67,18.67,16.67
0.22,0.99,2.45,11.67,18.34,28.33,5.83,1.83,35.5,15.67,16.67
0.22,1.09,3.22,8.33,15.17,31.66,14.5,3,36,19.5,18.33
0.23,0.68,1.14,11.66,14.33,26.67,6.33,2.83,36.17,20.83,18.33
0.23,0.79,0.91,8.33,13.83,18.33,9,4.33,36.66,13.33,18.33
0.23,0.96,0.85,15,11.5,28.75,10,1,27.16,20.67,25
0.23,1.02,0.96,8.33,15,23.34,9.33,2,35.94,18.83,26.67
0.23,1.05,1.45,6.66,12.67,25,5.33,1,35.5,14,15
0.24,2.15,0.42,43.34,23.5,40,15,2.5,38,46,45
0.25,0.73,1.06,16.67,13.5,26.67,6.5,3.83,29.67,22.83,15
0.25,0.76,3.22,11.67,14.67,23.33,10,2.5,33.66,30.33,15
0.25,0.8,0.73,10,13,23.33,13.5,4.17,32.17,28.17,15
0.25,0.85,1.55,8.33,14.67,20,9.33,2,33.33,20.33,28.33
0.25,0.88,1.32,11.67,17.67,25,8.67,4.83,34.83,36.83,15
0.25,1.03,0.3,13.33,14.5,23.33,9,2.17,40.17,19.33,21.67
